stop_id,stop_name,stop_lat,stop_lon,muni
2120,WB Auburn Bay DR @ Auburn Glen DR SE,50.898746,-113.951509,Calgary
2121,WB Auburn Bay DR @ Auburn Glen GR SE,50.898018,-113.953038,Calgary
2122,WB Auburn Bay DR @ Auburn Glen WY SE,50.896211,-113.954912,Calgary
2123,WB Cranston DR @ Cranston BV,50.891879,-113.985865,Calgary
2124,SB Cranston DR @ Cranston GA SE,50.888279,-113.988168,Calgary
2125,SB Cranston DR @ Cranston WY SE,50.885849,-113.98823,Calgary
2126,EB Cranston DR @ W. Leg Cranridge HT SE,50.882874,-113.986014,Calgary
2127,EB Cranston DR @ Cranridge TC SE,50.881978,-113.981265,Calgary
2128,NB New Brighton DR @ New Brighton AV SE,50.922277,-113.936806,Calgary
2129,EB New Brighton DR @ New Brighton HT SE,50.916486,-113.940834,Calgary
2130,EB New Brighton DR @ New Brighton PA SE,50.917433,-113.937045,Calgary
2131,EB New Brighton DR @ New Brighton GV SE,50.919602,-113.935511,Calgary
2132,WB New Brighton DR @ BrightonCrest PT SE,50.923482,-113.938641,Calgary
2133,WB New Brighton DR @ BrightonCrest TC SE,50.922111,-113.942857,Calgary
2134,WB New Brighton DR @ BrightonCrest RI SE,50.921989,-113.946441,Calgary
2135,WB New Brighton DR @ BrightonCrest MR SE,50.924384,-113.949381,Calgary
2148,WB 14 AV SW @ Ascot DR,51.045264,-114.220049,Calgary
2149,Tuscany Station - Rocky Ridge Terminal,51.135169,-114.234791,Calgary
2150,Tuscany Station - Rocky Ridge Terminal,51.135036,-114.234832,Calgary
2151,Tuscany Station - Rocky Ridge Terminal,51.134928,-114.234981,Calgary
2152,Tuscany Station - Tuscany Terminal,51.133697,-114.235998,Calgary
2153,Tuscany Station - Tuscany Terminal,51.133564,-114.235609,Calgary
2154,SB Legacy VW SE @ Legacy BY SE,50.85607,-114.011023,Calgary
2155,SB 23 ST NE @ 37 AV NE,51.086447,-114.00518,Calgary
2156,SB 23 ST NE @ 35 AV NE,51.083712,-114.005231,Calgary
2157,NB 23 ST NE @ 35 AV NE,51.083995,-114.00499,Calgary
2158,NB 23 ST NE @ 32 AV NE,51.082219,-114.004926,Calgary
2164,EB Shawville GA @ Shawville LI SE,50.898931,-114.064968,Calgary
2165,SB 5 ST SW @ 5 AV SW,51.048411,-114.073787,Calgary
2166,EB 17 AV SE @ 65 ST SE,51.037756,-113.93853,Calgary
2168,WB 8 AV NE @ 13A ST NE,51.059211,-114.029067,Calgary
2169,EB 210 AV SE @ Aldersyde GA SE,50.865324,-114.028561,Calgary
2177,EB 17 AV SE @ 68 ST SE,51.037709,-113.934062,Calgary
2178,EB 17th AV SE @ 70th ST SE,51.037693,-113.929646,Calgary
2179,WB 17 AV SE @ 68 ST SE,51.037919,-113.936097,Calgary
2180,WB 17th AV SE @ 70th ST SE,51.037941,-113.930992,Calgary
2181,NB Ogden RD @ 78 AV SE,50.982976,-113.998665,Calgary
2183,NB 19 ST NE @ Aero DR,51.137757,-114.013008,Calgary
2184,WB 100 AV NE @ 19 ST NE,51.143451,-114.014166,Calgary
2185,NB Freeport BV @ 104 AV NE,51.147475,-114.019984,Calgary
2186,SB 16 ST NE @ 104 AV NE,51.146391,-114.0202,Calgary
2187,SB 19 ST NE @ 100 AV NE,51.142816,-114.013493,Calgary
2188,WB Freeport BV @ 19 St NE,51.150917,-114.013991,Calgary
2190,WB Freeport BV @ Barlow TR NE,51.150946,-114.002893,Calgary
2191,WB Aero DR @ Aero CR E legNE,51.136701,-114.026764,Calgary
2192,EB Freeport BV @ Freeport WY NE,51.150589,-114.009294,Calgary
2193,SB Shaganappi TR @ Sage Valley BV NW,51.175259,-114.15722,Calgary
2194,EB Sage Hill BV @ Shaganappi TR NW,51.17017,-114.150749,Calgary
2195,EB Sage Hill BV @ Sage Hill PS NW,51.170497,-114.14589,Calgary
2196,WB Symons Valley Py (128 Av NW) @ Kincora Ga NW,51.16819,-114.147955,Calgary
2197,EB Symons Valley PY @ Shaganappi TR NW,51.167864,-114.15046,Calgary
2198,EB Sage Hill DR @ Sage Hill GD NW,51.171051,-114.13744,Calgary
2199,WB Sage Hill DR @ Sage Hill GD NW,51.171814,-114.137923,Calgary
2201,SB Walden DR SE @ acr. Walden TC SE,50.87408,-114.036571,Calgary
2202,SB Walden DR SE @ Walden CR SE (n.leg),50.872983,-114.03818,Calgary
2203,SB Walden DR SE @ Walden PA SE,50.869042,-114.036827,Calgary
2204,EB Walden DR @ Walden HT SE,50.868065,-114.032462,Calgary
2205,SB Legacy Village WY/ Legacy Vil RD SE,50.859105,-114.024902,Calgary
2206,EB Legacy Village WY @ Legacy BV SE,50.857198,-114.020756,Calgary
2207,SB Legacy CI SE @ Legacy Village WY,50.857342,-114.01735,Calgary
2208,EB Legacy CI SE @ Legacy HT SE,50.855269,-114.015008,Calgary
2209,NB Legacy View SE @ Legacy CI SE,50.854735,-114.011908,Calgary
2210,NB Legacy VW SE @ Legacy MR  SE,50.858409,-114.009198,Calgary
2211,WB Legacy CI @ Legacy VW SE,50.860951,-114.009915,Calgary
2212,WB Legacy CI @ Legacy CM SE,50.860945,-114.012454,Calgary
2213,WB Legacy Main ST SE @ Legacy GA SE,50.860945,-114.018105,Calgary
2214,NB Legacy BV SE @ Legacy Main ST SE,50.861282,-114.021438,Calgary
2215,NB Walgrove DR SE @ 210 AV SE,50.863722,-114.021441,Calgary
2216,WB Walden DR SE @ Walgrove CL SE,50.865764,-114.02381,Calgary
2217,WB Walden DR SE @ Walgrove ST SE,50.866782,-114.025894,Calgary
2218,NB Walden BV SE @ Walden GV SE,50.870002,-114.029645,Calgary
2219,NB Walden BV SE @ Walden RI SE,50.872755,-114.029747,Calgary
2220,SB Walden BV @ Walden RI SE,50.872035,-114.030048,Calgary
2221,SB Walden BV @ acr fr Walden GV SE,50.869401,-114.03002,Calgary
2222,EB Walden DR @ Walgrove CV SE,50.866101,-114.025322,Calgary
2223,EB Walden DR @ Walgrove DR SE,50.865485,-114.023371,Calgary
2224,SB Walgrove  DR SE  @ Walgrove CO SE,50.864707,-114.022172,Calgary
2225,SB Legacy BV SE @ 210  AV SE,50.862471,-114.021731,Calgary
2226,EB Legacy Main ST SE @ Legacy BV SE,50.860791,-114.020602,Calgary
2227,EB Legacy CI SE @ Legacy GA SE,50.860777,-114.016649,Calgary
2228,EB Legacy CI SE @ Legacy LD SE,50.860778,-114.011456,Calgary
2229,SB Legacy VW SE @ Legacy Legacy CI SE,50.860148,-114.009348,Calgary
2231,SB Legacy VW SE @ Legacy MR SE,50.857646,-114.009723,Calgary
2234,WB 6 AV @ 1 ST SE,51.04753,-114.061468,Calgary
2235,WB Legacy CI SE @ Legacy View SE,50.854661,-114.012894,Calgary
2236,WB Legacy CI SE @ Legacy HT SE,50.85586,-114.015773,Calgary
2237,WB Legacy Village WY @ Legacy CI SE,50.857695,-114.017899,Calgary
2238,WB Legacy Village RD SE @Legacy Village Way SE,50.859912,-114.026012,Calgary
2239,NB Legacy Village LI @ Legacy Main ST SE,50.862075,-114.027109,Calgary
2240,NB Walden CM @ 210 AV SE,50.866087,-114.028437,Calgary
2241,WB Walden DR @ Walden HT SE,50.868201,-114.033036,Calgary
2242,NB Walden DR @ acr sleg of Walden CR SE,50.8706,-114.037791,Calgary
2243,NB Walden DR @ acr nleg of Walden CR SE,50.873308,-114.03752,Calgary
2245,WB 13 AV @ Aspen Summit GR SW,51.047077,-114.200569,Calgary
2246,SB Legacy Village Li @ 210 Av SE,50.86381,-114.026257,Calgary
2247,NB Chaparral BV @ 194 AV SE,50.878232,-114.024404,Calgary
2248,EB Shawville WY @ W. of Shawville LI SE,50.899905,-114.06879,Calgary
2249,SB Shawville LI @ Shawville WY SE,50.89931,-114.066536,Calgary
2250,NB Shawville BV @ Shawville GA SE,50.899854,-114.063378,Calgary
2252,NB Legacy Village LI @ 210 AV SE,50.863459,-114.02609,Calgary
2253,EB 58 AV @ 37 ST SW,51.000861,-114.140597,Calgary
2254,EB 8 AV NE @ 13A ST NE,51.059082,-114.028984,Calgary
2255,WB Richardson WY @ Bishop WY SW,51.015129,-114.12954,Calgary
2256,NB Redstone ST@ 128 AV NE,51.166404,-113.96182,Calgary
2257,WB  Redstone DR @  Redstone ST NE,51.168534,-113.962568,Calgary
2258,NB  Redstone GV @  Redstone DR NE,51.168767,-113.965782,Calgary
2259,NB  Redstone GV @  Redstone VI NE,51.170193,-113.965713,Calgary
2260,NB  Redstone GV @  Redstone PZ NE,51.17196,-113.965037,Calgary
2261,NB  Redstone GV @  Redstone AV NE,51.172882,-113.963533,Calgary
2262,SB  Redstone ST @  Redstone AV NE,51.172891,-113.9614,Calgary
2263,SB  Redstone ST @  Redstone PA NE,51.169737,-113.96219,Calgary
2265,EB Skyview Ranch DR @ 52 ST NE,51.15788,-113.957853,Calgary
2267,EB 9 AV SW @ 81 ST SW,51.059553,-114.20549,Calgary
2268,WB 9 AV SW @ 77 ST SW,51.059753,-114.199942,Calgary
2269,EB Skyview Ranch DR @ Skyview Ranch ST NE,51.157949,-113.954998,Calgary
2270,NB Skyview Ranch BV @ Skyview Point CM NE,51.158607,-113.950978,Calgary
2271,NB Skyview Ranch BV @ Skyview Ranch AV NE,51.161386,-113.95076,Calgary
2272,WB Skyview Ranch RD @ Skyview Ranch BV NE,51.162962,-113.951745,Calgary
2273,EB 80 AV NE @ Martha's Meadows DR,51.125089,-113.963616,Calgary
2274,EB Country Hills BV @ 14 ST NE,51.154112,-114.0262,Calgary
